Titolo;Data;Descrizione;Tipo;Genere;Evento-Rassegna;Tag;Luogo;Personaggi;Gruppi;Organizzazioni;Fonti;Risorse online;Media;Slug;Stato record;NOTE
Killing Joke;1981-10-22;;concerto;;;;;;;;;;;;;
Lounge Lizards;1981-10-30;;concerto;;;;;;;;;;;;;
Peter Hammill;1981-11-19;;concerto;;;;;;;;;;;;;
Johnson Righeira/Litfiba;1981-12-31;;concerto;;;;;;;;;;;;;
Steve Piccolo;1982-01-21;;concerto;;;;;;;;;;;;;
Mephistofesta;1982-02-18;;;;;;;;;;;;;;;
Nico;1982-03-19;;concerto;;;;;;;;;;;;;
Tuxedomoon;1982-03-25;;concerto;;;;;;;;;;;;;
Diaframma/Neon;1982-04-20;;;;;;;;;;;;;;;
Bauhaus;1982-05-06;;;;;;;;;;;;;;;
Sulla Strada;1982-05-15;;;;;;;;;;;;;;;
Billy Biade and The Electric Razors;1982-06-02;;;;;;;;;;;;;;;
A Certain Ratio;1982-06-04;;concerto;;;;;;;;;;;;;
The Residents;1982-06-14;;concerto;;;;;;;;;;;;;
New Order;1982-06-16;;concerto;;;;;;;;;;;;;
Malaria;1982-07-15;;concerto;;;;;;;;;;;;;
Eva Maria Hagen;1982-07-24;;concerto;;;;;;;;;;;;;
Prima film Fassbinder;1982-11-12;;proiezione;;;;;;;;;;;;;
Section 25;1982-12-02;;concerto;;;;;;;;;;;;;
Pier Vittorio Tondelli;1982-12-04;;conferenza_incontro;;;;;;;;;;;;;
Diaframma;1982-12-11;;concerto;;;;;;;;;;;;;
Surprize;1982-12-18;;concerto;;;;;;;;;;;;;
Neon;1982-12-26;;concerto;;;;;;;;;;;;;
Noise Area;1983-01-15;;concerto;;;;;;;;;;;;;
Denovo;1983-01-22;;concerto;;;;;;;;;;;;;
Richard Hell;1983-02-12;;concerto;;;;;;;;;;;;;
Virgin Prunes;1983-02-16;;concerto;;;;;;;;;;;;;
The Sound;1983-02-17;;concerto;;;;;;;;;;;;;
John Cale;1983-02-21;;concerto;;;;;;;;;;;;;
Frigidaire Tango;1983-02-26;;;;;;;;;;;;;;;
Rinf;1983-03-05;;concerto;;;;;;;;;;;;;
Wisbone Ash;1983-03-09;;concerto;;;;;;;;;;;;;
Artery;1983-03-10;;concerto;;;;;;;;;;;;;
Diaframma;1983-03-12;;concerto;;;;;;;;;;;;;
Eneide;1983-03-17;;;;;;;;;;;;;;;
Pankow;1983-03-26;;concerto;;;;;;;;;;;;;
Polirock;1983-04-02;;concerto;;;;;;;;;;;;;
PigBag;1983-04-14;;concerto;;;;;;;;;;;;;
Militia;1983-04-16;;concerto;;;;;;;;;;;;;
Faust'o;1983-05-17;;concerto;;;;;;;;;;;;;
Moda;1983-05-26;;concerto;;;;;;;;;;;;;
Rip Rig And Panie;1983-06-09;;concerto;;;;;;;;;;;;;
John Giorno;1983-06-28;;reading;;;;;;;;;;;;;
Diaframma;1983-07-07;;concerto;;;;;;;;;;;;;
James Blood Ulmer;1983-07-10;;concerto;;;;;;;;;;;;;
Material;1983-07-12;;concerto;;;;;;;;;;;;;
Nico;1983-07-16;;concerto;;;;;;;;;;;;;
Avion Trave!;1983-09-30;;concerto;;;;;;;;;;;;;
Clock DVA;1983-11-16;;concerto;;;;;;;;;;;;;
Gun Club;1983-11-26;;concerto;;;;;;;;;;;;;
Graffiti Competition;1983-12-02;;;;;;;;;;;;;;;
John Foxx;1983-12-06;;concerto;;;;;;;;;;;;;
Minox;1983-12-08;;concerto;;;;;;;;;;;;;
Diaframma;1983-12-17;;concerto;;;;;;;;;;;;;
The Magnificent Fource;1983-12-26;;evento;;;;;;;;;;;;;
Palais Schaumburg;1984-01-19;;concerto;;;;;;;;;;;;;
sfilata;1984-01-27;;sfilata;;;;;;;;;;;;;
Whodini;1984-02-01;;concerto;;;;;;;;;;;;;
Pier Vittorio Tondelli;1984-02-21;;conferenza_incontro;;;;;;;;;;;;;
X from Los Angeles;1984-03-08;;concerto;;;;;;;;;;;;;
Andrea Renzi;1984-03-09;;evento;;;;;;;;;;;;;
Sex Gang Children;1984-04-11;;concerto;;;;;;;;;;;;;
Happening Fiorucci;1984-04-18;;concerto;;;;;;;;;;;;;
Rock Party;1984-05-11;;festa;;;;;;;;;;;;;
Talk Talk;1984-05-15;;concerto;;;;;;;;;;;;;
Pink Industry;1984-05-25;;concerto;;;;;;;;;;;;;
Psichedelic Furs;1984-06-07;;concerto;;;;;;;;;;;;;
Independent Music Meeting;1984-07-05;;rassegna;;;;;;;;;;;;;
Virgin Prunes;1984-07-10;;concerto;;;;;;;;;;;;;
Diaframma, Litfiba, Neon;1984-07-16;;evento;;;;;;;;;;;;;
D-Ey;1984-07-20;;concerto;;;;;;;;;;;;;
Play Dead;1984-09-28;;concerto;;;;;;;;;;;;;
Philip Glass;1984-10-02;;concerto;;;;;;;;;;;;;
Nick Cave;1984-11-04;;concerto;;;;;;;;;;;;;
Depeche Mode;1984-11-26;;concerto;;;;;;;;;;;;;
Lotus Eaters;1984-12-06;;concerto;;;;;;;;;;;;;
Section 25;1984-12-09;;concerto;;;;;;;;;;;;;
Flesh For Lulu;1984-12-14;;concerto;;;;;;;;;;;;;
Carillon Del Dolorein concerto;1984-12-28;;concerto;;;;;;;;;;;;;
Lord Of New Church;1985-01-22;;concerto;;;;;;;;;;;;;
Syntax Error Party;1985-01-25;;evento;;;;;;;;;;;;;
Happening con Rockstar;1985-02-01;;evento;;;;;;;;;;;;;
Diaframma;1985-02-08;;concerto;;;;;;;;;;;;;
Three Jones;1985-02-14;;concerto;;;;;;;;;;;;;
Sfilata;1985-02-16;;sfilata;;;;;;;;;;;;;
Romeo Void;1985-02-20;;concerto;;;;;;;;;;;;;
Che Fine ha fatto Baby Jane;1985-03-01;;sfilata;;;;;;;;;;;;;
Pitti Trend;1985-03-02;;evento;;;;;;;;;;;;;
Samuele Mazza per Emporio Ali Stars;1985-03-03;;evento;;;;;;;;;;;;;
Nina Hagen;1985-03-25;;concerto;;;;;;;;;;;;;
Everithing But The Girls;1985-03-29;;concerto;;;;;;;;;;;;;
Fleshtones;1985-04-04;;concerto;;;;;;;;;;;;;
The Stranglers;1985-04-10;;concerto;;;;;;;;;;;;;
The Cult;1985-04-17;;concerto;;;;;;;;;;;;;
Litfiba;1985-04-23;;concerto;;;;;;;;;;;;;
Sister Of Mercy;1985-05-01;;concerto;;;;;;;;;;;;;
Saluti dall'Italia - Nuovi Futuristi;1985-05-10;;evento;;;;;;;;;;;;;
Pankow;1985-05-24;;concerto;;;;;;;;;;;;;
Nina Hagen;1985-05-26;;concerto;;;;;;;;;;;;;
Afrika Bambaata;1985-06-04;;concerto;;;;;;;;;;;;;
The Christian Death;1985-06-13;;concerto;;;;;;;;;;;;;
Pendencias. Culture giovanili;1985-06-23;;evento;;;;;;;;;;;;;
Litfiba;1985-08-30;;concerto;;;;;;;;;;;;;
Artisti inglesi;1985-09-19;;evento;;;;;;;;;;;;;
Festa;1985-09-21;;festa;;;;;;;;;;;;;
The Durutti Column/Stockolm Monster;1985-10-12;;concerto;;;;;;;;;;;;;
Tuxedomoon;1985-10-14;;concerto;;;;;;;;;;;;;
Diana Ross;1985-10-20;;concerto;;;;;;;;;;;;;
Tears For Fears;1985-10-30;;concerto;;;;;;;;;;;;;
Eric Clapton;1985-11-05;;concerto;;;;;;;;;;;;;
Minimal Compact;1985-11-29;;concerto;;;;;;;;;;;;;
Orient Express;1985-12-06;;evento;;;;;;;;;;;;;
Happening OOB. Bang Bang;1985-12-13;;evento;;;;;;;;;;;;;
Frigidaire Party;1985-12-20;;evento;;;;;;;;;;;;;
Baby Jane Party;1985-12-24;;evento;;;;;;;;;;;;;
The Flyng Foxes;1986-01-23;;concerto;;;;;;;;;;;;;
Photo Style;1986-01-24;;evento;;;;;;;;;;;;;
Comsat Angels;1986-01-30;;concerto;;;;;;;;;;;;;
Sfilata;1986-01-31;;sfilata;;;;;;;;;;;;;
dildo;1986-02-01;;prima;;;;;;;;;;;;;
Simply Red;1986-02-03;;concerto;;;;;;;;;;;;;
Sandro Tamburi Show;1986-02-07;;evento;;;;;;;;;;;;;
Quartetto Prampolini;1986-02-14;;concerto;;;;;;;;;;;;;
Boris Trambusti;1986-02-21;;evento;;;;;;;;;;;;;
Psichedelic Furs;1986-02-22;;concerto;;;;;;;;;;;;;
Prefab Sprout;1986-02-26;;concerto;;;;;;;;;;;;;
Melodrama;1986-03-14;;concerto;;;;;;;;;;;;;
Julian Cope;1986-03-26;;concerto;;;;;;;;;;;;;
Eros Barbies Show;1986-03-28;;evento;;;;;;;;;;;;;
Dissidenten;1986-04-18;;concerto;;;;;;;;;;;;;
Sade;1986-04-21;;concerto;;;;;;;;;;;;;
Controradio. Decennale;1986-04-23;;anniversario;;;;;;;;;;;;;
Mark Almond;1986-04-23;;concerto;;;;;;;;;;;;;
The Cramps;1986-04-25;;concerto;;;;;;;;;;;;;
Matt Bianco;1986-05-01;;concerto;;;;;;;;;;;;;
Fine Young Cannibals;1986-05-03;;concerto;;;;;;;;;;;;;
James Brown;1986-05-08;;concerto;;;;;;;;;;;;;
Party;1986-05-16;;festa;;;;;;;;;;;;;
Red Lorry Yellow Lorry;1986-05-16;;concerto;;;;;;;;;;;;;
The Cult;1986-05-21;;concerto;;;;;;;;;;;;;
CCCP;1986-05-22;;concerto;;;;;;;;;;;;;
Jesus And Mary Chain;1986-05-23;;concerto;;;;;;;;;;;;;
Peter Murphy;1986-05-26;;concerto;;;;;;;;;;;;;
Sex Parade;1986-05-30;;evento;;;;;;;;;;;;;
Laurie Anderson;1986-06-12;;concerto;;;;;;;;;;;;;
The Dream Syndicate;1986-07-03;;concerto;;;;;;;;;;;;;
Go Flamingo;1986-07-08;;concerto;;;;;;;;;;;;;
Blaine Reinenger;1986-07-21;;concerto;;;;;;;;;;;;;
The Communards;1986-09-18;;evento;;;;;;;;;;;;;
Bob Q - VM 18;1986-09-19;;sfilata;;;;;;;;;;;;;
party;1986-09-20;;festa;;;;;;;;;;;;;
Samuele Mazza;1986-09-21;;evento;;;;;;;;;;;;;
Balaam and The Angel;1986-10-14;;concerto;;;;;;;;;;;;;
Sonny Rollins;1986-10-21;;concerto;;;;;;;;;;;;;
Jackson Brown;1986-10-22;;concerto;;;;;;;;;;;;;
Tree Mustapha Tree;1986-10-27;;concerto;;;;;;;;;;;;;
Cocteau Twins;1986-10-28;;concerto;;;;;;;;;;;;;
Eurithmics;1986-11-04;;concerto;;;;;;;;;;;;;
Carmelo Bene;1986-11-09;;evento;;;;;;;;;;;;;
Killing Joke;1986-12-08;;concerto;;;;;;;;;;;;;
Sette Set Fotografici;1986-12-12;;evento;;;;;;;;;;;;;
La Notte degli Eroi;1986-12-19;;prima;;;;;;;;;;;;;
Anne Pigalle;1987-02-06;;concerto;;;;;;;;;;;;;
Soul's Hunter;1987-02-17;;concerto;;;;;;;;;;;;;
party;1987-02-21;;festa;;;;;;;;;;;;;
Mission;1987-03-10;;concerto;;;;;;;;;;;;;
Xymox;1987-04-08;;concerto;;;;;;;;;;;;;
Neon;1987-04-14;;concerto;;;;;;;;;;;;;
Par CM Galerie;1987-04-24;;sfilata;;;;;;;;;;;;;
The Style Council;1987-05-06;;concerto;;;;;;;;;;;;;
party;1987-05-08;;festa;;;;;;;;;;;;;
Mostra fotografica Come Eravamo;1987-05-24;;mostra;;;;;;;;;;;;;
Barbara Bai - Stefano Chiassai, sfilate;1987-09-25;;evento;;;;;;;;;;;;;
Current 93;1987-10-31;;concerto;;;;;;;;;;;;;
Skiantos;1987-11-10;;concerto;;;;;;;;;;;;;
Wire;1987-11-18;;concerto;;;;;;;;;;;;;
Boy George;1987-11-21;;concerto;;;;;;;;;;;;;
Echo And The Bunnymen;1987-11-24;;concerto;;;;;;;;;;;;;
The Cure;1987-11-30;;concerto;;;;;;;;;;;;;
John Mayall;1987-12-01;;concerto;;;;;;;;;;;;;
CCCP;1987-12-09;;concerto;;;;;;;;;;;;;
La Notte degli Eroi;1987-12-18;;evento;;;;;;;;;;;;;
Vivienne Westwood;1988-01-08;;evento;;;;;;;;;;;;;
Lloyd Cole And The Commotions;1988-02-02;;concerto;;;;;;;;;;;;;
Penguin Cafè Orchestra;1988-02-29;;concerto;;;;;;;;;;;;;
Renato Carosone;1988-03-26;;concerto;;;;;;;;;;;;;
GBH;1988-03-30;;concerto;;;;;;;;;;;;;
Exploited;1988-05-17;;concerto;;;;;;;;;;;;;
Manu Dibango;1988-05-19;;concerto;;;;;;;;;;;;;
Afrika Bambata;1988-05-27;;concerto;;;;;;;;;;;;;
Hypnodance;1988-05-28;;concerto;;;;;;;;;;;;;
Molissa Fenley;1988-06-15;;evento;;;;;;;;;;;;;
Ornette Coleman;1988-09-05;;concerto;;;;;;;;;;;;;
Litfiba;1988-09-15;;concerto;;;;;;;;;;;;;
Sfilata;1988-09-17;;sfilata;;;;;;;;;;;;;
Disciplinatha;1988-10-21;;concerto;;;;;;;;;;;;;
Diamanda Galas;1988-10-29;;concerto;;;;;;;;;;;;;
Pretty Things;1988-11-11;;concerto;;;;;;;;;;;;;
Giovanni Testori;1988-11-16;;evento;;;;;;;;;;;;;
Patsy Kensit;1988-12-01;;concerto;;;;;;;;;;;;;
Leo De Berardinis;1988-12-08;;evento;;;;;;;;;;;;;
Dead Can Dance;1988-12-16;;concerto;;;;;;;;;;;;;
Paolo Poli;1988-12-23;;evento;;;;;;;;;;;;;
Paola Pitagora;1989-01-10;;evento;;;;;;;;;;;;;
Iggy Pop;1989-01-18;;concerto;;;;;;;;;;;;;
James Taylor Quartet;1989-03-07;;concerto;;;;;;;;;;;;;
Helen Merrill;1989-03-14;;concerto;;;;;;;;;;;;;
Keith Jarrett;1989-03-25;;concerto;;;;;;;;;;;;;
Green On Red;1989-03-28;;concerto;;;;;;;;;;;;;
John McLauglhin;1989-03-30;;concerto;;;;;;;;;;;;;
Dee Dee Bridgewater;1989-04-11;;concerto;;;;;;;;;;;;;
Michelle Shocked;1989-05-01;;concerto;;;;;;;;;;;;;
Ramones;1989-05-04;;concerto;;;;;;;;;;;;;
Red;1989-05-10;;concerto;;;;;;;;;;;;;
Simple Minds;1989-05-16;;concerto;;;;;;;;;;;;;
Pink Floyd;1989-05-22;;concerto;;;;;;;;;;;;;
Santana;1989-07-19;;concerto;;;;;;;;;;;;;
Steven Brown;1989-07-26;;concerto;;;;;;;;;;;;;
Hodoo Gurus;1989-09-25;;concerto;;;;;;;;;;;;;
Residents;1989-10-21;;concerto;;;;;;;;;;;;;
John Zorn;1989-10-22;;concerto;;;;;;;;;;;;;
Joe Strummer;1989-10-26;;concerto;;;;;;;;;;;;;
Evan Lurie;1989-11-10;;concerto;;;;;;;;;;;;;
Nusrat Fateh Ali Khan;1989-11-15;;concerto;;;;;;;;;;;;;
The Sugarcubes;1989-11-16;;concerto;;;;;;;;;;;;;
David Byrne;1989-11-29;;concerto;;;;;;;;;;;;;
